Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_16p7cm_C,GroundTemp_33p2cm_C,GroundTemp_49p4cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_16p7cm_C,QC_GroundTemp_33p2cm_C,QC_GroundTemp_49p4cm_C
2023-08-22 07:00:00,9.238,8.717,4.376,1.398,0.301,0,0,0,0,0
2023-08-22 08:00:00,8.742,8.195,4.298,1.398,0.301,0,0,0,0,0
2023-08-22 09:00:00,9.089,7.72,4.22,1.398,0.301,0,0,0,0,0
2023-08-22 10:00:00,9.064,7.569,4.141,1.398,0.301,0,0,0,0,0
2023-08-22 11:00:00,8.965,7.318,4.063,1.398,0.301,0,0,0,0,0
2023-08-22 12:00:00,9.089,7.268,4.037,1.398,0.301,0,0,0,0,0
2023-08-22 13:00:00,9.139,7.293,4.011,1.398,0.301,0,0,0,0,0
2023-08-22 14:00:00,9.139,7.293,3.985,1.398,0.301,0,0,0,0,0
2023-08-22 15:00:00,9.213,7.343,3.958,1.398,0.301,0,0,0,0,0
2023-08-22 16:00:00,9.509,7.519,3.985,1.398,0.301,0,0,0,0,0
2023-08-22 17:00:00,9.583,7.72,3.985,1.398,0.301,0,0,0,0,0
2023-08-22 18:00:00,10.247,8.07,4.037,1.398,0.301,0,0,0,0,0
2023-08-22 19:00:00,11.102,8.792,4.194,1.398,0.301,0,0,0,0,0
2023-08-22 20:00:00,11.589,9.608,4.324,1.425,0.301,0,0,0,0,0
2023-08-22 21:00:00,12.025,10.222,4.376,1.425,0.301,0,0,0,0,0
2023-08-22 22:00:00,10.907,10.296,4.376,1.425,0.301,1,0,0,0,0
2023-08-22 23:00:00,12.413,10.736,4.584,1.425,0.301,1,0,0,0,0
2023-08-23 00:00:00,11.419,10.712,4.558,1.425,0.301,0,0,0,0,0
2023-08-23 01:00:00,11.394,10.883,4.61,1.425,0.301,0,0,0,0,0
2023-08-23 02:00:00,11.443,10.834,4.688,1.425,0.301,0,0,0,0,0
2023-08-23 03:00:00,10.956,10.736,4.714,1.425,0.301,0,0,0,0,0
2023-08-23 04:00:00,10.638,10.271,4.714,1.453,0.301,0,0,0,0,0
2023-08-23 05:00:00,10.565,9.903,4.636,1.453,0.301,0,0,0,0,0
2023-08-23 06:00:00,10.418,9.46,4.584,1.425,0.301,0,0,0,0,0
2023-08-23 07:00:00,10.516,9.114,4.506,1.453,0.301,0,0,0,0,0
2023-08-23 08:00:00,10.418,8.841,4.48,1.453,0.301,0,0,0,0,0
2023-08-23 09:00:00,10.443,8.742,4.48,1.453,0.301,0,0,0,0,0
2023-08-23 10:00:00,9.903,8.568,4.376,1.453,0.301,0,0,0,0,0
2023-08-23 11:00:00,9.608,8.145,4.272,1.453,0.301,0,0,0,0,0
2023-08-23 12:00:00,9.977,7.97,4.22,1.453,0.301,0,0,0,0,0
2023-08-23 13:00:00,9.879,7.995,4.22,1.453,0.301,0,0,0,0,0
2023-08-23 14:00:00,9.731,7.92,4.168,1.453,0.301,0,0,0,0,0
2023-08-23 15:00:00,9.682,7.895,4.141,1.453,0.301,0,0,0,0,0
